{'loss': 2.2862, 'grad_norm': 6.354724407196045, 'learning_rate': 4.999631707389661e-05, 'epoch': 0.0}
{'loss': 1.4249, 'grad_norm': 2.7160534858703613, 'learning_rate': 4.999259694651945e-05, 'epoch': 0.0}
{'loss': 1.1484, 'grad_norm': 2.478886127471924, 'learning_rate': 4.9988876819142286e-05, 'epoch': 0.0}
{'loss': 0.9631, 'grad_norm': 2.208475112915039, 'learning_rate': 4.998515669176513e-05, 'epoch': 0.0}
{'loss': 0.8853, 'grad_norm': 2.3981053829193115, 'learning_rate': 4.998143656438797e-05, 'epoch': 0.0}
{'loss': 0.818, 'grad_norm': 2.2971572875976562, 'learning_rate': 4.9977716437010804e-05, 'epoch': 0.0}
{'loss': 0.7595, 'grad_norm': 2.2808642387390137, 'learning_rate': 4.997399630963364e-05, 'epoch': 0.01}
{'loss': 0.6974, 'grad_norm': 1.8728874921798706, 'learning_rate': 4.997027618225648e-05, 'epoch': 0.01}
{'loss': 0.6653, 'grad_norm': 2.0903897285461426, 'learning_rate': 4.996655605487932e-05, 'epoch': 0.01}
{'loss': 0.654, 'grad_norm': 2.097414970397949, 'learning_rate': 4.996283592750216e-05, 'epoch': 0.01}
{'loss': 0.6105, 'grad_norm': 2.265176773071289, 'learning_rate': 4.9959115800125e-05, 'epoch': 0.01}
{'loss': 0.587, 'grad_norm': 1.9916971921920776, 'learning_rate': 4.995539567274784e-05, 'epoch': 0.01}
{'loss': 0.5569, 'grad_norm': 1.5694377422332764, 'learning_rate': 4.995167554537068e-05, 'epoch': 0.01}
{'loss': 0.5322, 'grad_norm': 1.8731006383895874, 'learning_rate': 4.9947955417993514e-05, 'epoch': 0.01}
{'loss': 0.5138, 'grad_norm': 1.8894495964050293, 'learning_rate': 4.994423529061635e-05, 'epoch': 0.01}
{'loss': 0.5097, 'grad_norm': 1.979996919631958, 'learning_rate': 4.9940515163239195e-05, 'epoch': 0.01}
{'loss': 0.4939, 'grad_norm': 1.8889374732971191, 'learning_rate': 4.993679503586203e-05, 'epoch': 0.01}
{'loss': 0.4674, 'grad_norm': 1.495803713798523, 'learning_rate': 4.993307490848487e-05, 'epoch': 0.01}
{'loss': 0.4488, 'grad_norm': 1.8244173526763916, 'learning_rate': 4.9929354781107706e-05, 'epoch': 0.01}
{'loss': 0.4451, 'grad_norm': 1.8182345628738403, 'learning_rate': 4.9925634653730543e-05, 'epoch': 0.01}
{'loss': 0.4528, 'grad_norm': 1.8247655630111694, 'learning_rate': 4.992191452635339e-05, 'epoch': 0.02}
{'loss': 0.4289, 'grad_norm': 1.9208886623382568, 'learning_rate': 4.9918194398976224e-05, 'epoch': 0.02}
{'loss': 0.4084, 'grad_norm': 1.74807608127594, 'learning_rate': 4.991447427159906e-05, 'epoch': 0.02}
{'loss': 0.4191, 'grad_norm': 1.4179760217666626, 'learning_rate': 4.99107541442219e-05, 'epoch': 0.02}
{'loss': 0.4099, 'grad_norm': 1.418258547782898, 'learning_rate': 4.990703401684474e-05, 'epoch': 0.02}
{'loss': 0.394, 'grad_norm': 1.9150826930999756, 'learning_rate': 4.990331388946758e-05, 'epoch': 0.02}
{'loss': 0.3949, 'grad_norm': 1.6574256420135498, 'learning_rate': 4.9899593762090416e-05, 'epoch': 0.02}
{'loss': 0.3861, 'grad_norm': 1.5637097358703613, 'learning_rate': 4.9895873634713254e-05, 'epoch': 0.02}
{'loss': 0.3852, 'grad_norm': 1.5174843072891235, 'learning_rate': 4.989215350733609e-05, 'epoch': 0.02}
{'loss': 0.3674, 'grad_norm': 1.390110731124878, 'learning_rate': 4.9888433379958934e-05, 'epoch': 0.02}
{'loss': 0.367, 'grad_norm': 1.6752078533172607, 'learning_rate': 4.988471325258177e-05, 'epoch': 0.02}
{'loss': 0.381, 'grad_norm': 1.3107088804244995, 'learning_rate': 4.988099312520461e-05, 'epoch': 0.02}
{'loss': 0.3711, 'grad_norm': 1.4784533977508545, 'learning_rate': 4.9877272997827446e-05, 'epoch': 0.02}
{'loss': 0.3501, 'grad_norm': 1.341222882270813, 'learning_rate': 4.987355287045028e-05, 'epoch': 0.03}
{'loss': 0.352, 'grad_norm': 1.5438522100448608, 'learning_rate': 4.9869832743073127e-05, 'epoch': 0.03}
{'loss': 0.3693, 'grad_norm': 1.5437047481536865, 'learning_rate': 4.9866112615695964e-05, 'epoch': 0.03}
{'loss': 0.3555, 'grad_norm': 1.4860001802444458, 'learning_rate': 4.986239248831881e-05, 'epoch': 0.03}
{'loss': 0.3499, 'grad_norm': 1.437593936920166, 'learning_rate': 4.985867236094164e-05, 'epoch': 0.03}
{'loss': 0.3481, 'grad_norm': 1.5104649066925049, 'learning_rate': 4.9854952233564475e-05, 'epoch': 0.03}
{'loss': 0.3412, 'grad_norm': 1.4982044696807861, 'learning_rate': 4.985123210618732e-05, 'epoch': 0.03}
{'loss': 0.3439, 'grad_norm': 1.7339872121810913, 'learning_rate': 4.9847511978810156e-05, 'epoch': 0.03}
{'loss': 0.3329, 'grad_norm': 1.5627602338790894, 'learning_rate': 4.9843791851433e-05, 'epoch': 0.03}
{'loss': 0.3312, 'grad_norm': 1.3239599466323853, 'learning_rate': 4.984007172405584e-05, 'epoch': 0.03}
{'loss': 0.3258, 'grad_norm': 1.5504388809204102, 'learning_rate': 4.9836351596678674e-05, 'epoch': 0.03}
{'loss': 0.3292, 'grad_norm': 1.3404316902160645, 'learning_rate': 4.983263146930151e-05, 'epoch': 0.03}
{'loss': 0.328, 'grad_norm': 1.3951160907745361, 'learning_rate': 4.982891134192435e-05, 'epoch': 0.03}
{'loss': 0.3163, 'grad_norm': 1.2614991664886475, 'learning_rate': 4.982519121454719e-05, 'epoch': 0.03}
{'loss': 0.3335, 'grad_norm': 1.2737538814544678, 'learning_rate': 4.982147108717003e-05, 'epoch': 0.04}
{'loss': 0.3326, 'grad_norm': 1.2274725437164307, 'learning_rate': 4.9817750959792866e-05, 'epoch': 0.04}
{'loss': 0.3264, 'grad_norm': 1.3547993898391724, 'learning_rate': 4.98140308324157e-05, 'epoch': 0.04}
{'loss': 0.3317, 'grad_norm': 1.386831521987915, 'learning_rate': 4.981031070503854e-05, 'epoch': 0.04}
{'loss': 0.3165, 'grad_norm': 1.6154345273971558, 'learning_rate': 4.9806590577661384e-05, 'epoch': 0.04}
{'loss': 0.3149, 'grad_norm': 1.5212182998657227, 'learning_rate': 4.980287045028422e-05, 'epoch': 0.04}
{'loss': 0.3114, 'grad_norm': 1.2747656106948853, 'learning_rate': 4.979915032290706e-05, 'epoch': 0.04}
{'loss': 0.3144, 'grad_norm': 1.6236718893051147, 'learning_rate': 4.9795430195529895e-05, 'epoch': 0.04}
{'loss': 0.3116, 'grad_norm': 1.4886449575424194, 'learning_rate': 4.979171006815274e-05, 'epoch': 0.04}
{'loss': 0.3138, 'grad_norm': 1.4142098426818848, 'learning_rate': 4.9787989940775576e-05, 'epoch': 0.04}
{'loss': 0.316, 'grad_norm': 1.3528047800064087, 'learning_rate': 4.978426981339841e-05, 'epoch': 0.04}
{'loss': 0.3058, 'grad_norm': 1.4915204048156738, 'learning_rate': 4.978054968602125e-05, 'epoch': 0.04}
{'loss': 0.3136, 'grad_norm': 1.1901720762252808, 'learning_rate': 4.977682955864409e-05, 'epoch': 0.04}
{'loss': 0.3104, 'grad_norm': 1.5321671962738037, 'learning_rate': 4.977310943126693e-05, 'epoch': 0.05}
{'loss': 0.2996, 'grad_norm': 1.4407106637954712, 'learning_rate': 4.976938930388977e-05, 'epoch': 0.05}
{'loss': 0.2999, 'grad_norm': 1.572045922279358, 'learning_rate': 4.9765669176512605e-05, 'epoch': 0.05}
{'loss': 0.3089, 'grad_norm': 1.4759538173675537, 'learning_rate': 4.976194904913544e-05, 'epoch': 0.05}
{'loss': 0.3053, 'grad_norm': 1.5122474431991577, 'learning_rate': 4.975822892175828e-05, 'epoch': 0.05}
{'loss': 0.304, 'grad_norm': 1.5315221548080444, 'learning_rate': 4.975450879438112e-05, 'epoch': 0.05}
{'loss': 0.2939, 'grad_norm': 1.4806795120239258, 'learning_rate': 4.975078866700396e-05, 'epoch': 0.05}
{'loss': 0.3034, 'grad_norm': 1.4472156763076782, 'learning_rate': 4.9747068539626804e-05, 'epoch': 0.05}
{'loss': 0.2948, 'grad_norm': 1.1573375463485718, 'learning_rate': 4.9743348412249634e-05, 'epoch': 0.05}
{'loss': 0.2892, 'grad_norm': 1.3641315698623657, 'learning_rate': 4.973962828487248e-05, 'epoch': 0.05}
{'loss': 0.3005, 'grad_norm': 1.2442320585250854, 'learning_rate': 4.9735908157495315e-05, 'epoch': 0.05}
{'loss': 0.2953, 'grad_norm': 1.4170200824737549, 'learning_rate': 4.973218803011815e-05, 'epoch': 0.05}
{'loss': 0.2854, 'grad_norm': 1.6133390665054321, 'learning_rate': 4.9728467902740996e-05, 'epoch': 0.05}
{'loss': 0.291, 'grad_norm': 1.1834880113601685, 'learning_rate': 4.972474777536383e-05, 'epoch': 0.06}
{'loss': 0.3011, 'grad_norm': 1.3395494222640991, 'learning_rate': 4.972102764798667e-05, 'epoch': 0.06}
{'loss': 0.2968, 'grad_norm': 1.330971121788025, 'learning_rate': 4.971730752060951e-05, 'epoch': 0.06}
{'loss': 0.2916, 'grad_norm': 1.2697261571884155, 'learning_rate': 4.9713587393232344e-05, 'epoch': 0.06}
{'loss': 0.285, 'grad_norm': 1.01357901096344, 'learning_rate': 4.970986726585519e-05, 'epoch': 0.06}
{'loss': 0.2851, 'grad_norm': 1.3502358198165894, 'learning_rate': 4.9706147138478025e-05, 'epoch': 0.06}
{'loss': 0.2997, 'grad_norm': 1.6401530504226685, 'learning_rate': 4.970242701110086e-05, 'epoch': 0.06}
{'loss': 0.2897, 'grad_norm': 1.3880201578140259, 'learning_rate': 4.96987068837237e-05, 'epoch': 0.06}
{'loss': 0.2938, 'grad_norm': 1.6644231081008911, 'learning_rate': 4.969498675634654e-05, 'epoch': 0.06}
{'loss': 0.2912, 'grad_norm': 1.203481912612915, 'learning_rate': 4.969126662896938e-05, 'epoch': 0.06}
{'loss': 0.2794, 'grad_norm': 0.9513496160507202, 'learning_rate': 4.968754650159222e-05, 'epoch': 0.06}
{'loss': 0.286, 'grad_norm': 1.4512073993682861, 'learning_rate': 4.9683826374215054e-05, 'epoch': 0.06}
{'loss': 0.2784, 'grad_norm': 1.1624131202697754, 'learning_rate': 4.968010624683789e-05, 'epoch': 0.06}
{'loss': 0.2896, 'grad_norm': 1.402970790863037, 'learning_rate': 4.9676386119460735e-05, 'epoch': 0.06}
{'loss': 0.272, 'grad_norm': 1.1889365911483765, 'learning_rate': 4.967266599208357e-05, 'epoch': 0.07}
{'loss': 0.2817, 'grad_norm': 1.3469700813293457, 'learning_rate': 4.966894586470641e-05, 'epoch': 0.07}
{'loss': 0.2854, 'grad_norm': 1.642089605331421, 'learning_rate': 4.9665225737329247e-05, 'epoch': 0.07}
{'loss': 0.2808, 'grad_norm': 1.3216032981872559, 'learning_rate': 4.9661505609952084e-05, 'epoch': 0.07}
{'loss': 0.2758, 'grad_norm': 1.1811996698379517, 'learning_rate': 4.965778548257493e-05, 'epoch': 0.07}
{'loss': 0.2745, 'grad_norm': 1.7036548852920532, 'learning_rate': 4.9654065355197765e-05, 'epoch': 0.07}
{'loss': 0.2716, 'grad_norm': 1.2203289270401, 'learning_rate': 4.96503452278206e-05, 'epoch': 0.07}
{'loss': 0.2885, 'grad_norm': 1.105681300163269, 'learning_rate': 4.964662510044344e-05, 'epoch': 0.07}
{'loss': 0.2863, 'grad_norm': 1.4209057092666626, 'learning_rate': 4.9642904973066276e-05, 'epoch': 0.07}
{'loss': 0.2692, 'grad_norm': 1.3062763214111328, 'learning_rate': 4.963918484568912e-05, 'epoch': 0.07}
{'loss': 0.2757, 'grad_norm': 1.3198715448379517, 'learning_rate': 4.963546471831196e-05, 'epoch': 0.07}
{'loss': 0.2829, 'grad_norm': 1.3685599565505981, 'learning_rate': 4.96317445909348e-05, 'epoch': 0.07}
{'loss': 0.2722, 'grad_norm': 1.5728732347488403, 'learning_rate': 4.962802446355763e-05, 'epoch': 0.07}
{'loss': 0.2659, 'grad_norm': 1.1921383142471313, 'learning_rate': 4.9624304336180475e-05, 'epoch': 0.08}
{'loss': 0.2656, 'grad_norm': 1.1429824829101562, 'learning_rate': 4.962058420880331e-05, 'epoch': 0.08}
{'loss': 0.2712, 'grad_norm': 1.5854133367538452, 'learning_rate': 4.961686408142615e-05, 'epoch': 0.08}
{'loss': 0.2716, 'grad_norm': 1.1080796718597412, 'learning_rate': 4.961314395404899e-05, 'epoch': 0.08}
{'loss': 0.2684, 'grad_norm': 1.2952901124954224, 'learning_rate': 4.960942382667183e-05, 'epoch': 0.08}
{'loss': 0.2691, 'grad_norm': 1.3409353494644165, 'learning_rate': 4.960570369929467e-05, 'epoch': 0.08}
{'loss': 0.2712, 'grad_norm': 1.4655687808990479, 'learning_rate': 4.9601983571917504e-05, 'epoch': 0.08}
{'loss': 0.275, 'grad_norm': 1.4573115110397339, 'learning_rate': 4.959826344454034e-05, 'epoch': 0.08}
