{'loss': 2.7811, 'grad_norm': 7.083247184753418, 'learning_rate': 4.999631707389661e-05, 'epoch': 0.0}
{'loss': 1.6748, 'grad_norm': 2.890040874481201, 'learning_rate': 4.999259694651945e-05, 'epoch': 0.0}
{'loss': 1.3055, 'grad_norm': 2.480600357055664, 'learning_rate': 4.9988876819142286e-05, 'epoch': 0.0}
{'loss': 1.139, 'grad_norm': 2.28021240234375, 'learning_rate': 4.998515669176513e-05, 'epoch': 0.0}
{'loss': 1.0423, 'grad_norm': 2.4776415824890137, 'learning_rate': 4.998143656438797e-05, 'epoch': 0.0}
{'loss': 0.9793, 'grad_norm': 2.2883126735687256, 'learning_rate': 4.9977716437010804e-05, 'epoch': 0.0}
{'loss': 0.9027, 'grad_norm': 2.205843925476074, 'learning_rate': 4.997399630963364e-05, 'epoch': 0.01}
{'loss': 0.8397, 'grad_norm': 2.0664191246032715, 'learning_rate': 4.997027618225648e-05, 'epoch': 0.01}
{'loss': 0.8108, 'grad_norm': 2.240007162094116, 'learning_rate': 4.996655605487932e-05, 'epoch': 0.01}
{'loss': 0.7817, 'grad_norm': 2.2497384548187256, 'learning_rate': 4.996283592750216e-05, 'epoch': 0.01}
{'loss': 0.7309, 'grad_norm': 2.4374353885650635, 'learning_rate': 4.9959115800125e-05, 'epoch': 0.01}
{'loss': 0.7133, 'grad_norm': 2.0673673152923584, 'learning_rate': 4.995539567274784e-05, 'epoch': 0.01}
{'loss': 0.6899, 'grad_norm': 1.951755404472351, 'learning_rate': 4.995167554537068e-05, 'epoch': 0.01}
{'loss': 0.6621, 'grad_norm': 2.1317031383514404, 'learning_rate': 4.9947955417993514e-05, 'epoch': 0.01}
{'loss': 0.6417, 'grad_norm': 2.1156044006347656, 'learning_rate': 4.994423529061635e-05, 'epoch': 0.01}
{'loss': 0.6312, 'grad_norm': 2.030686378479004, 'learning_rate': 4.9940515163239195e-05, 'epoch': 0.01}
{'loss': 0.6187, 'grad_norm': 2.1439366340637207, 'learning_rate': 4.993679503586203e-05, 'epoch': 0.01}
{'loss': 0.5864, 'grad_norm': 1.8596571683883667, 'learning_rate': 4.993307490848487e-05, 'epoch': 0.01}
{'loss': 0.5713, 'grad_norm': 1.9445308446884155, 'learning_rate': 4.9929354781107706e-05, 'epoch': 0.01}
{'loss': 0.563, 'grad_norm': 1.8881367444992065, 'learning_rate': 4.9925634653730543e-05, 'epoch': 0.01}
{'loss': 0.5616, 'grad_norm': 1.9052305221557617, 'learning_rate': 4.992191452635339e-05, 'epoch': 0.02}
{'loss': 0.5308, 'grad_norm': 2.125688076019287, 'learning_rate': 4.9918194398976224e-05, 'epoch': 0.02}
{'loss': 0.5195, 'grad_norm': 1.8964588642120361, 'learning_rate': 4.991447427159906e-05, 'epoch': 0.02}
{'loss': 0.5269, 'grad_norm': 1.6598328351974487, 'learning_rate': 4.99107541442219e-05, 'epoch': 0.02}
{'loss': 0.5228, 'grad_norm': 1.6573002338409424, 'learning_rate': 4.990703401684474e-05, 'epoch': 0.02}
{'loss': 0.5121, 'grad_norm': 1.731164813041687, 'learning_rate': 4.990331388946758e-05, 'epoch': 0.02}
{'loss': 0.5044, 'grad_norm': 1.965580701828003, 'learning_rate': 4.9899593762090416e-05, 'epoch': 0.02}
{'loss': 0.4994, 'grad_norm': 1.7713291645050049, 'learning_rate': 4.9895873634713254e-05, 'epoch': 0.02}
{'loss': 0.4947, 'grad_norm': 2.1264708042144775, 'learning_rate': 4.989215350733609e-05, 'epoch': 0.02}
{'loss': 0.4769, 'grad_norm': 1.6910442113876343, 'learning_rate': 4.9888433379958934e-05, 'epoch': 0.02}
{'loss': 0.4803, 'grad_norm': 1.9696414470672607, 'learning_rate': 4.988471325258177e-05, 'epoch': 0.02}
{'loss': 0.4762, 'grad_norm': 1.6087994575500488, 'learning_rate': 4.988099312520461e-05, 'epoch': 0.02}
{'loss': 0.4692, 'grad_norm': 1.591434121131897, 'learning_rate': 4.9877272997827446e-05, 'epoch': 0.02}
{'loss': 0.4585, 'grad_norm': 1.5953898429870605, 'learning_rate': 4.987355287045028e-05, 'epoch': 0.03}
{'loss': 0.4559, 'grad_norm': 1.9315310716629028, 'learning_rate': 4.9869832743073127e-05, 'epoch': 0.03}
{'loss': 0.4594, 'grad_norm': 1.8234996795654297, 'learning_rate': 4.9866112615695964e-05, 'epoch': 0.03}
{'loss': 0.4546, 'grad_norm': 1.7366825342178345, 'learning_rate': 4.986239248831881e-05, 'epoch': 0.03}
{'loss': 0.4538, 'grad_norm': 1.6888148784637451, 'learning_rate': 4.985867236094164e-05, 'epoch': 0.03}
{'loss': 0.4457, 'grad_norm': 1.669312834739685, 'learning_rate': 4.9854952233564475e-05, 'epoch': 0.03}
{'loss': 0.4449, 'grad_norm': 1.5657434463500977, 'learning_rate': 4.985123210618732e-05, 'epoch': 0.03}
{'loss': 0.4399, 'grad_norm': 2.0548934936523438, 'learning_rate': 4.9847511978810156e-05, 'epoch': 0.03}
{'loss': 0.4298, 'grad_norm': 1.693902850151062, 'learning_rate': 4.9843791851433e-05, 'epoch': 0.03}
{'loss': 0.4279, 'grad_norm': 1.7401560544967651, 'learning_rate': 4.984007172405584e-05, 'epoch': 0.03}
{'loss': 0.4177, 'grad_norm': 1.7763046026229858, 'learning_rate': 4.9836351596678674e-05, 'epoch': 0.03}
{'loss': 0.4225, 'grad_norm': 1.5274937152862549, 'learning_rate': 4.983263146930151e-05, 'epoch': 0.03}
{'loss': 0.4153, 'grad_norm': 1.7035932540893555, 'learning_rate': 4.982891134192435e-05, 'epoch': 0.03}
{'loss': 0.4128, 'grad_norm': 1.6494227647781372, 'learning_rate': 4.982519121454719e-05, 'epoch': 0.03}
{'loss': 0.4227, 'grad_norm': 1.3085274696350098, 'learning_rate': 4.982147108717003e-05, 'epoch': 0.04}
{'loss': 0.4183, 'grad_norm': 1.4562212228775024, 'learning_rate': 4.9817750959792866e-05, 'epoch': 0.04}
{'loss': 0.4143, 'grad_norm': 1.5333757400512695, 'learning_rate': 4.98140308324157e-05, 'epoch': 0.04}
{'loss': 0.4157, 'grad_norm': 1.749954342842102, 'learning_rate': 4.981031070503854e-05, 'epoch': 0.04}
{'loss': 0.4095, 'grad_norm': 1.828283429145813, 'learning_rate': 4.9806590577661384e-05, 'epoch': 0.04}
{'loss': 0.4033, 'grad_norm': 1.7292863130569458, 'learning_rate': 4.980287045028422e-05, 'epoch': 0.04}
{'loss': 0.3975, 'grad_norm': 1.562351107597351, 'learning_rate': 4.979915032290706e-05, 'epoch': 0.04}
{'loss': 0.4025, 'grad_norm': 1.7576587200164795, 'learning_rate': 4.9795430195529895e-05, 'epoch': 0.04}
{'loss': 0.3978, 'grad_norm': 1.7567615509033203, 'learning_rate': 4.979171006815274e-05, 'epoch': 0.04}
{'loss': 0.4004, 'grad_norm': 1.6172453165054321, 'learning_rate': 4.9787989940775576e-05, 'epoch': 0.04}
{'loss': 0.4011, 'grad_norm': 1.6397641897201538, 'learning_rate': 4.978426981339841e-05, 'epoch': 0.04}
{'loss': 0.3949, 'grad_norm': 1.5138031244277954, 'learning_rate': 4.978054968602125e-05, 'epoch': 0.04}
{'loss': 0.3981, 'grad_norm': 1.4683473110198975, 'learning_rate': 4.977682955864409e-05, 'epoch': 0.04}
{'loss': 0.393, 'grad_norm': 1.6927595138549805, 'learning_rate': 4.977310943126693e-05, 'epoch': 0.05}
{'loss': 0.3878, 'grad_norm': 1.6013436317443848, 'learning_rate': 4.976938930388977e-05, 'epoch': 0.05}
{'loss': 0.3849, 'grad_norm': 1.7523566484451294, 'learning_rate': 4.9765669176512605e-05, 'epoch': 0.05}
